serial,I_NH3,I_NO3,I_BOD5,I_COD,I_Turb,I_TSS,I_TDS,I_PH,O_CL2,O_NH3,O_NO3,O_BOD5,O_COD,O_Turb,O_TSS,O_TDS,O_PH,source
408,21.0,3.4,325,680,227.0,293,962,7.4,0.12,0.22,2.7,1.1,18,0.3,1,451,7.83,test
439,37.0,3.1,370,682,68.0,164,429,7.65,0.18,0.18,0.7,2.1,19,0.33,1,390,7.81,test
428,46.0,2.8,388,958,182.0,355,505,7.93,0.18,0.24,1.2,1.9,19,0.25,1,398,7.8,test
447,32.0,2.8,355,722,55.0,129,378,7.59,0.25,0.07,2.8,2.2,18,0.27,1,424,7.72,test
481,70.5,1.4,290,615,158.0,186,836,7.51,0.15,0.13,3.8,2.7,18,0.21,1,343,7.44,test
35,67.0,1.4,265,351,210.0,266,768,7.05,0.45,0.23,6.2,2.3,12,0.24,1,628,7.41,test
255,37.0,1.9,355,692,52.0,94,764,8.09,0.22,0.27,1.0,4.2,15,1.06,1,719,8.18,test
441,32.0,2.5,370,682,221.0,433,411,7.7,0.22,0.17,1.4,2.1,19,0.17,1,422,7.88,test
478,67.0,1.9,290,615,136.0,278,591,7.42,0.11,0.05,2.1,2.7,18,0.13,1,337,7.31,test
307,68.0,2.2,233,510,250.0,467,769,7.66,0.27,0.26,1.4,4.2,14,0.4,1,500,8.16,test
443,26.0,2.6,355,722,95.0,204,364,7.7,0.12,0.22,2.2,2.1,19,0.47,1,423,7.8,test
108,57.0,1.2,248,399,124.0,215,753,7.68,0.41,0.24,3.6,2.3,9,0.3,1,631,8.12,test
258,89.0,2.2,355,692,83.0,234,938,7.69,0.22,0.18,1.0,4.2,15,0.56,1,669,8.31,test
198,48.0,2.1,295,605,79.0,352,734,7.99,0.25,0.46,1.4,2.8,14,1.31,1,682,8.02,test
315,63.0,2.1,330,675,53.0,140,631,7.81,0.2,0.29,1.5,5.1,18,0.33,1,493,8.06,test
89,29.0,1.6,274,416,98.0,354,685,7.84,0.23,0.25,2.4,1.9,10,0.45,1,688,7.06,test
162,59.0,1.8,297,588,122.0,404,760,8.07,0.24,0.05,1.1,2.2,14,0.37,1,760,8.14,test
311,69.0,1.8,330,675,199.0,350,586,7.95,0.28,0.31,1.5,5.1,18,0.7,1,494,8.07,test
493,55.35,2.6,415,922,251.0,480,605,7.38,0.15,0.1,2.9,2.8,18,0.42,1,426,7.47,test
363,40.0,2.4,315,642,105.0,115,606,7.66,0.25,0.3,1.5,3.2,14,0.32,1,562,7.72,test
412,38.0,3.8,325,680,144.0,234,426,7.65,0.2,0.22,1.5,1.1,18,0.22,1,409,7.69,test
293,70.0,2.2,322,655,323.0,557,636,7.5,0.24,0.28,1.3,3.8,16,0.53,1,533,7.9,test
309,54.0,2.5,233,510,78.0,186,68,8.0,0.25,0.25,0.8,4.2,14,0.42,1,486,8.04,test
205,68.0,1.9,311,635,190.0,451,763,8.54,0.22,0.28,1.2,4.1,16,0.55,1,679,8.06,test
490,50.53,2.1,380,805,185.0,291,606,7.69,0.11,0.08,1.5,2.1,15,0.21,1,392,7.59,test
72,89.0,1.6,326,541,182.0,221,498,7.41,0.63,0.14,2.4,2.1,13,0.47,1,482,7.99,test
239,103.0,2.8,392,811,134.0,356,976,8.02,0.23,1.4,1.7,1.9,15,2.33,1,783,8.29,test
508,34.0,2.2,410,833,34.0,94,606,7.45,0.14,0.07,0.6,3.2,12,0.17,1,473,7.77,test
354,39.0,2.8,516,1033,614.0,802,573,7.06,0.28,0.2,2.3,5.1,18,0.2,1,555,7.74,test
23,62.0,1.6,187,366,112.0,158,820,8.07,0.28,0.26,3.8,1.8,8,0.51,1,732,7.55,test
415,42.0,2.2,317,775,431.0,701,385,7.49,0.14,0.22,1.2,1.7,16,0.46,1,407,7.9,test
301,60.0,1.9,295,588,171.0,286,618,7.96,0.31,0.26,0.9,5.8,18,0.56,1,512,8.05,test
5,69.0,2.4,174,322,148.0,241,841,8.12,0.21,0.63,1.6,2.5,11,0.25,1,756,7.62,test
433,38.0,2.8,345,820,131.0,253,421,7.61,0.18,0.18,1.1,2.3,19,0.34,1,390,7.68,test
438,37.0,2.2,370,682,77.0,170,414,7.64,0.12,0.19,0.7,2.1,19,0.23,1,385,7.83,test
103,49.0,1.5,365,519,196.0,216,498,7.32,0.19,0.26,3.2,1.9,14,0.45,1,498,7.68,test
181,76.0,1.9,281,592,115.0,362,900,8.12,0.35,0.09,2.5,3.8,10,0.39,1,607,7.83,test
40,67.4,1.5,278,377,136.0,169,762,8.26,0.37,0.23,1.2,2.5,13,0.51,1,685,7.35,test
419,58.0,2.5,317,775,149.0,288,500,7.7,0.12,0.26,1.1,1.7,16,0.48,1,400,7.77,test
25,34.0,1.2,187,366,119.0,166,863,6.87,0.26,0.35,4.2,1.8,8,0.48,1,796,6.74,test
94,82.0,2.1,358,501,168.0,215,715,7.15,0.25,0.24,1.6,2.1,13,0.26,1,862,7.65,test
199,62.0,2.2,295,605,215.0,427,799,7.84,0.18,0.27,1.7,2.8,14,2.44,1,717,8.09,test
327,81.0,3.1,720,1176,643.0,772,793,7.82,0.25,0.3,3.5,3.1,18,0.82,1,531,8.15,test
54,24.1,1.5,198,343,163.0,236,684,7.62,0.41,0.14,2.4,2.5,9,1.02,3,615,7.35,test
360,50.0,2.5,315,642,483.0,504,1057,7.2,0.3,0.26,1.2,3.2,14,0.35,1,566,7.7,test
276,40.0,2.5,355,705,136.0,230,538,7.76,0.23,0.23,1.6,3.8,13,0.32,1,511,7.94,test
204,78.0,2.1,311,635,100.0,328,969,8.04,0.25,0.32,1.1,4.1,16,0.33,1,682,8.09,test
47,52.0,1.2,341,560,108.0,232,717,7.14,0.19,0.24,4.7,2.1,14,0.42,1,624,7.62,test
82,69.0,1.5,390,579,101.0,148,674,7.48,0.24,0.23,2.6,2.5,12,1.25,1,689,7.92,test
20,71.0,1.1,203,391,124.0,231,842,7.21,0.36,0.5,3.4,2.3,10,0.25,1,765,7.35,test
383,46.0,3.5,335,680,409.0,577,476,7.54,0.3,0.16,1.4,1.5,19,1.63,2,445,7.93,test
401,36.0,2.8,357,771,370.0,561,409,7.82,0.25,0.19,2.2,1.9,16,0.19,1,413,7.91,test
81,52.0,1.6,390,579,102.0,135,660,7.65,0.33,0.25,2.4,2.5,12,1.36,1,475,7.69,test
277,30.0,3.1,355,705,124.0,534,534,7.81,0.22,0.26,1.4,3.8,13,0.26,1,508,8.01,test
468,18.65,3.1,310,620,9.94,31,320,7.47,0.12,0.11,1.9,1.7,19,0.16,1,392,7.48,test
235,88.0,2.2,402,791,69.0,222,908,8.07,0.22,0.57,1.9,3.8,16,0.52,1,731,8.39,test
426,38.0,2.2,388,958,173.0,246,417,7.74,0.15,0.16,1.3,1.9,19,1.38,1,408,7.8,test
395,45.0,2.1,411,833,175.0,270,505,7.56,0.17,0.18,2.6,2.1,18,0.78,1,436,7.9,test
156,39.0,2.2,311,631,98.0,225,481,8.33,0.28,0.04,1.1,3.3,16,0.43,1,647,8.23,test
473,55.0,2.2,275,582,1113.0,904,1179,6.52,0.12,0.24,2.3,2.8,18,0.25,1,353,7.37,test
427,31.0,3.1,388,958,418.0,591,367,7.68,0.1,0.16,1.5,1.9,19,0.68,1,400,7.84,test
222,91.0,2.3,355,692,539.0,862,774,7.54,0.27,0.27,2.5,2.3,12,0.38,1,687,8.19,test
345,51.0,1.8,422,812,240.0,351,676,7.93,0.22,0.48,1.2,4.1,16,0.29,1,544,8.13,test
343,68.0,2.1,580,960,1138.0,1070,607,7.78,0.33,0.53,2.0,3.1,16,0.26,1,524,8.21,test
174,55.0,2.5,275,605,88.0,179,914,7.65,0.26,0.12,0.9,1.8,12,0.54,1,575,7.87,test
